[2026-03-14T16:24:50.279Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-14T16:24:50.279Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-03-14T16:24:50.288Z] GET http://localhost:4400/node_modules/vite/dist/client/env.mjs → 200 (5ms, 3478B)
[2026-03-14T16:24:50.291Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-HNT3PLDI.js?v=9bfe2023 → 200 (1ms, 2726B)
[2026-03-14T16:24:50.292Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEX3GG7N.js?v=9bfe2023 → 200 (?ms, 4683B)
[2026-03-14T16:24:50.292Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=9bfe2023 → 200 (?ms, 7184B)
[2026-03-14T16:24:50.293Z] GET http://localhost:4400/@id/__x00__astro:toolbar:internal → 200 (?ms, 8955B)
[2026-03-14T16:24:50.312Z] GET http://localhost:4400/node_modules/.vite/deps/astro-BKQCAMZY.js?v=9bfe2023 → 200 (?ms, 20489B)
[2026-03-14T16:24:50.312Z] GET http://localhost:4400/node_modules/.vite/deps/audit-7NUPXPU7.js?v=9bfe2023 → 200 (?ms, 51832B)
[2026-03-14T16:24:50.312Z] GET http://localhost:4400/node_modules/.vite/deps/xray-XH6VIXDC.js?v=9bfe2023 → 200 (?ms, 5635B)
[2026-03-14T16:24:50.312Z] GET http://localhost:4400/node_modules/.vite/deps/settings-K4OHAGC2.js?v=9bfe2023 → 200 (?ms, 6305B)
[2026-03-14T16:24:50.312Z] GET http://localhost:4400/node_modules/.vite/deps/toolbar-OWACWLIF.js?v=9bfe2023 → 200 (1ms, 15702B)
[2026-03-14T16:24:50.313Z] GET http://localhost:4400/node_modules/.vite/deps/ui-library-EVFCBMCE.js?v=9bfe2023 → 200 (?ms, 28741B)
[2026-03-14T16:24:50.313Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WM2KMMIK.js?v=9bfe2023 → 200 (?ms, 1629B)
[2026-03-14T16:24:50.314Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-ZUETELRC.js?v=9bfe2023 → 200 (?ms, 48630B)
[2026-03-14T16:24:50.314Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WTIA47ZU.js?v=9bfe2023 → 200 (?ms, 112523B)
[2026-03-14T16:24:50.314Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEAOZWS7.js?v=9bfe2023 → 200 (?ms, 2369B)
[2026-03-14T16:24:50.314Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-PXGSXSC7.js?v=9bfe2023 → 200 (?ms, 642B)
[2026-03-14T16:24:50.314Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WDCEFGHP.js?v=9bfe2023 → 200 (?ms, 205273B)
[2026-03-14T16:24:50.327Z] GET http://localhost:4400/artifacts/red-cross-wwi-poster.jpg → 404 (3ms, ?B)
[2026-03-14T16:24:50.758Z] GET http://localhost:4400/artifacts/red-cross-wwi-poster.jpg → 404 (3ms, ?B)
[2026-03-14T16:25:06.770Z] GET http://localhost:4400/submit → 200 (174ms, 42631B)
[2026-03-14T16:25:06.947Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400&display=swap → 200 (?ms, 16765B)
[2026-03-14T16:25:06.948Z] GET http://localhost:4400/@vite/client → 304 (12ms, ?B)
[2026-03-14T16:25:06.948Z] GET http://localhost:4400/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 304 (12ms, ?B)
[2026-03-14T16:25:06.948Z] GET http://localhost:4400/src/styles/global.css → 304 (12ms, ?B)
[2026-03-14T16:25:06.951Z] GET http://localhost:4400/@id/astro:scripts/before-hydration.js → 200 (15ms, 988B)
[2026-03-14T16:25:06.959Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-14T16:25:06.960Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-03-14T16:25:06.964Z] GET http://localhost:4400/node_modules/vite/dist/client/env.mjs → 304 (3ms, ?B)
[2026-03-14T16:25:06.965Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-HNT3PLDI.js?v=9bfe2023 → 200 (?ms, 2726B)
[2026-03-14T16:25:06.965Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEX3GG7N.js?v=9bfe2023 → 200 (?ms, 4683B)
[2026-03-14T16:25:06.966Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=9bfe2023 → 200 (?ms, 7184B)
[2026-03-14T16:25:06.966Z] GET http://localhost:4400/@id/__x00__astro:toolbar:internal → 304 (3ms, ?B)
[2026-03-14T16:25:06.966Z] GET http://localhost:4400/@react-refresh → 200 (4ms, 111894B)
[2026-03-14T16:25:06.969Z] GET http://localhost:4400/node_modules/.vite/deps/astro-BKQCAMZY.js?v=9bfe2023 → 200 (?ms, 20489B)
[2026-03-14T16:25:06.969Z] GET http://localhost:4400/node_modules/.vite/deps/audit-7NUPXPU7.js?v=9bfe2023 → 200 (?ms, 51832B)
